feature,importance,model
sub_grade_encoded,0.629607680455138,tree_surrogate
log_avg_cur_bal,0.1137059795422058,tree_surrogate
purpose_encoded,0.10052536803608887,tree_surrogate
loan duration,0.09796207468251578,tree_surrogate
emp_title_encoded,0.058198897284051435,tree_surrogate
issue_d,0.0,tree_surrogate
target,0.0,tree_surrogate
tax_liens,0.0,tree_surrogate
zip_code,0.0,tree_surrogate
Pct_afro_american,0.0,tree_surrogate
log_annual_inc,0.0,tree_surrogate
log_fico_range_high,0.0,tree_surrogate
log_bc_open_to_buy,0.0,tree_surrogate
log_mo_sin_old_rev_tl_op,0.0,tree_surrogate
log_revol_bal,0.0,tree_surrogate
grade_encoded,0.0,tree_surrogate
emp_length_encoded,0.0,tree_surrogate
revol_util,0.0,tree_surrogate
pub_rec_bankruptcies,0.0,tree_surrogate
pub_rec,0.0,tree_surrogate
mo_sin_rcnt_rev_tl_op,0.0,tree_surrogate
bc_util,0.0,tree_surrogate
delinq_2yrs,0.0,tree_surrogate
dti,0.0,tree_surrogate
funded_amnt,0.0,tree_surrogate
inq_last_6mths,0.0,tree_surrogate
int_rate,0.0,tree_surrogate
mo_sin_rcnt_tl,0.0,tree_surrogate
open_acc,0.0,tree_surrogate
mort_acc,0.0,tree_surrogate
mths_since_recent_bc,0.0,tree_surrogate
num_actv_bc_tl,0.0,tree_surrogate
num_bc_tl,0.0,tree_surrogate
num_il_tl,0.0,tree_surrogate
num_rev_accts,0.0,tree_surrogate
home_ownership_encoded,0.0,tree_surrogate
